valid_time,model_level,latitude,longitude,expver,t
1/1/2013,1,72,353,1,218.6295
1/1/2013,1,72,354,1,218.817
1/1/2013,1,72,355,1,219.06651
1/1/2013,1,72,356,1,219.36485
1/1/2013,1,72,357,1,219.68907
1/1/2013,1,72,358,1,220.0128
1/1/2013,1,72,359,1,220.30772
1/1/2013,1,71,0,1,208.91466
1/1/2013,1,71,310,1,208.78673
1/1/2013,1,71,311,1,208.64561
1/1/2013,1,71,312,1,208.51427
1/1/2013,1,71,313,1,208.40733
1/1/2013,1,71,314,1,208.32726
1/1/2013,1,71,315,1,208.27501
1/1/2013,1,71,316,1,208.25352
1/1/2013,1,71,317,1,208.27208
1/1/2013,1,71,318,1,208.3419
1/1/2013,1,71,319,1,208.4713
1/1/2013,1,71,320,1,208.6588
1/1/2013,1,71,321,1,208.89757
1/1/2013,1,71,322,1,209.17735
1/1/2013,1,71,323,1,209.48985
1/1/2013,1,71,324,1,209.83018
1/1/2013,1,71,325,1,210.19102
1/1/2013,1,71,326,1,210.56358
1/1/2013,1,71,327,1,210.93517
1/1/2013,1,71,328,1,211.2921
1/1/2013,1,71,329,1,211.6251
1/1/2013,1,71,330,1,211.93321
1/1/2013,1,71,331,1,212.22179
1/1/2013,1,71,332,1,212.50304
1/1/2013,1,71,333,1,212.79015
1/1/2013,1,71,334,1,213.09386
1/1/2013,1,71,335,1,213.4215
1/1/2013,1,71,336,1,213.77403
1/1/2013,1,71,337,1,214.14757
1/1/2013,1,71,338,1,214.5338
1/1/2013,1,71,339,1,214.9215
1/1/2013,1,71,340,1,215.29893
1/1/2013,1,71,341,1,215.65733
1/1/2013,1,71,342,1,215.99327
1/1/2013,1,71,343,1,216.30626
1/1/2013,1,71,344,1,216.59679
1/1/2013,1,71,345,1,216.86095
1/1/2013,1,71,346,1,217.08751
1/1/2013,1,71,347,1,217.2628
1/1/2013,1,71,348,1,217.38145
1/1/2013,1,71,349,1,217.45226
1/1/2013,1,71,350,1,217.50108
1/1/2013,1,71,351,1,217.56554
1/1/2013,1,71,352,1,217.68175
1/1/2013,1,71,353,1,217.87413
1/1/2013,1,71,354,1,218.15147
1/1/2013,1,71,355,1,218.50499
1/1/2013,1,71,356,1,218.91515
1/1/2013,1,71,357,1,219.35265
1/1/2013,1,71,358,1,219.78233
1/1/2013,1,71,359,1,220.16856
1/1/2013,1,70,0,1,209.31114
1/1/2013,1,70,310,1,209.25987
1/1/2013,1,70,311,1,209.17882
1/1/2013,1,70,312,1,209.07677
1/1/2013,1,70,313,1,208.95616
1/1/2013,1,70,314,1,208.8131
1/1/2013,1,70,315,1,208.64708
1/1/2013,1,70,316,1,208.46935
1/1/2013,1,70,317,1,208.30675
1/1/2013,1,70,318,1,208.19542
1/1/2013,1,70,319,1,208.16759
1/1/2013,1,70,320,1,208.24083
1/1/2013,1,70,321,1,208.41515
1/1/2013,1,70,322,1,208.67686
1/1/2013,1,70,323,1,209.0045
1/1/2013,1,70,324,1,209.37364
1/1/2013,1,70,325,1,209.76231
1/1/2013,1,70,326,1,210.15001
1/1/2013,1,70,327,1,210.51915
1/1/2013,1,70,328,1,210.859
1/1/2013,1,70,329,1,211.16173
1/1/2013,1,70,330,1,211.42589
1/1/2013,1,70,331,1,211.65831
1/1/2013,1,70,332,1,211.87169
1/1/2013,1,70,333,1,212.08702
1/1/2013,1,70,334,1,212.32335
1/1/2013,1,70,335,1,212.59288
1/1/2013,1,70,336,1,212.8961
1/1/2013,1,70,337,1,213.22374
1/1/2013,1,70,338,1,213.56456
1/1/2013,1,70,339,1,213.91124
1/1/2013,1,70,340,1,214.26427
1/1/2013,1,70,341,1,214.62755
1/1/2013,1,70,342,1,215.0006
1/1/2013,1,70,343,1,215.37657
1/1/2013,1,70,344,1,215.73839
1/1/2013,1,70,345,1,216.0631
1/1/2013,1,70,346,1,216.32726
1/1/2013,1,70,347,1,216.51524
1/1/2013,1,70,348,1,216.62999
1/1/2013,1,70,349,1,216.69493
1/1/2013,1,70,350,1,216.74767
1/1/2013,1,70,351,1,216.83018
1/1/2013,1,70,352,1,216.9757
1/1/2013,1,70,353,1,217.20226
1/1/2013,1,70,354,1,217.5128
1/1/2013,1,70,355,1,217.90099
1/1/2013,1,70,356,1,218.3546
1/1/2013,1,70,357,1,218.85362
1/1/2013,1,70,358,1,219.36583
1/1/2013,1,70,359,1,219.85167
1/1/2013,1,69,0,1,209.20958
1/1/2013,1,69,310,1,209.22179
1/1/2013,1,69,311,1,209.18712
1/1/2013,1,69,312,1,209.1046
1/1/2013,1,69,313,1,208.96935
1/1/2013,1,69,314,1,208.77696
1/1/2013,1,69,315,1,208.52989
1/1/2013,1,69,316,1,208.24962
1/1/2013,1,69,317,1,207.97716
1/1/2013,1,69,318,1,207.76378
1/1/2013,1,69,319,1,207.65147
1/1/2013,1,69,320,1,207.66417
1/1/2013,1,69,321,1,207.8043
1/1/2013,1,69,322,1,208.06114
1/1/2013,1,69,323,1,208.41222
1/1/2013,1,69,324,1,208.82726
1/1/2013,1,69,325,1,209.26964
1/1/2013,1,69,326,1,209.70323
1/1/2013,1,69,327,1,210.10313
1/1/2013,1,69,328,1,210.45567
1/1/2013,1,69,329,1,210.75645
1/1/2013,1,69,330,1,211.0045
1/1/2013,1,69,331,1,211.20372
1/1/2013,1,69,332,1,211.3668
1/1/2013,1,69,333,1,211.52013
1/1/2013,1,69,334,1,211.69688
1/1/2013,1,69,335,1,211.91759
1/1/2013,1,69,336,1,212.18272
1/1/2013,1,69,337,1,212.4752
1/1/2013,1,69,338,1,212.77452
1/1/2013,1,69,339,1,213.07433
1/1/2013,1,69,340,1,213.38683
1/1/2013,1,69,341,1,213.72911
1/1/2013,1,69,342,1,214.11095
1/1/2013,1,69,343,1,214.52306
